"id","company_name","level_of_certification","date_of_award","expiry_date","sector_id","email","phone_no","created_by","updated_by","created_at","updated_at","deleted_at"
"1","DIESEL LOCO SHED, KAZIPET","Gold","2020-01-01","2023-01-04","30","srdmedslkzj@gmail.com","9701371476",NULL,NULL,"2023-05-18 13:26:29.0000",NULL,NULL
"2","HONDA MOTORCYCLE AND SCOOTER INDIA PVTD LTD","Platinum","2020-01-01","2023-01-12","3","sachin.pandey@honda2wheelersindia.com","7069150005",NULL,NULL,"2023-05-18 13:27:33.0000",NULL,NULL
"3","THE INDIAN STEEL & WIRE PRODUCTS LIMITED","Silver","2020-01-01","2023-01-01","63","pkojha@tatasteel.com","9234540346",NULL,NULL,"2023-05-18 13:28:50.0000",NULL,NULL
"4","THE RAMARAJU SURGICAL COTTON MILLS LTD - 2","Bronze","2020-01-01","2023-01-12","50","vel@ramcotex.com","9994944031",NULL,NULL,"2023-05-18 13:55:55.0000",NULL,NULL
"5","THE RAMARAJU SURGICAL COTTON MILLS LTD- 3","Bronze","2020-01-01","2023-01-12","50","vel@ramcotex.com","9994944031",NULL,NULL,"2023-05-18 13:56:50.0000",NULL,NULL
"6","INDIAN OIL CORPORATION LTD-CHENNAI LPG UNIT (ENNORE)","Gold","2020-01-15","2023-01-14","59","skumar123@indianoil.in","9498416359",NULL,NULL,"2023-05-18 13:58:24.0000",NULL,NULL
"7","ACC LTD","Gold","2020-01-02","2023-01-02","6","vikaskumar.prasad@acclimited.com","9480686448",NULL,NULL,"2023-05-18 14:00:25.0000",NULL,NULL
"8","EATON FLUID POWER LTD","Gold","2020-01-02","2023-01-02","11","PrasannaGKumar@Eaton.com","9765406181",NULL,NULL,"2023-05-18 14:04:45.0000",NULL,NULL
"9","EATON INDUSTRIAL SYSTEMS PVT. LTD","Gold","2020-01-02","2023-01-02","11","KaushalyaGaonkar@Eaton.com","9765401398",NULL,NULL,"2023-05-18 14:05:55.0000",NULL,NULL
"10","HPCL - MUNDRA OIL TERMINAL","Platinum","2020-01-02","2023-01-01","59","keshavsinghal@hpcl.in","9930091232",NULL,NULL,"2023-05-18 14:08:58.0000",NULL,NULL
"11","HPCL - KANPUR OIL TERMINAL","Gold","2020-01-02","2023-01-01","59","keshavsinghal@hpcl.in","9930091232",NULL,NULL,"2023-05-18 14:11:56.0000",NULL,NULL
"12","HPCL - BHOPAL LPG BOTTLING UNIT","Platinum","2020-03-01","2023-02-01","59","keshavsinghal@hpcl.in","9930091232",NULL,NULL,"2023-05-25 11:58:23.0000",NULL,NULL
"13","HPCL - CALICUT AVIATION FUEL TERMINAL","Platinum","2020-03-01","2023-02-01","59","keshavsinghal@hpcl.in","9930091232",NULL,NULL,"2023-05-25 12:23:55.0000",NULL,NULL
